ID,Name,Nationality,Club,Preferred Foot,Work Rate
242384,Douglas,Brazil,Shimizu S-Pulse,Left,High/ Medium
190416,D. Le Tallec,France,Montpellier HSC,Right,Medium/ High
223697,R. Gosens,Germany,Atalanta,Left,Medium/ High
183249,R. Bobadilla,Paraguay,Argentinos Juniors,Right,High/ Medium
184273,K. Wolze,Germany,MSV Duisburg,Left,High/ Medium
184274,C. Basham,England,Sheffield United,Right,High/ High
212947,J. Cabot,France,FC Lorient,Right,High/ Medium
213203,Gonçalo Silva,Portugal,Os Belenenses,Right,Medium/ High
214483,C. Arboleda,Colombia,Independiente Santa Fe,Right,Medium/ Medium
200918,C. Knasmüllner,Austria,SK Rapid Wien,Right,Medium/ Low
215254,L. Lollo,Argentina,River Plate,Right,Medium/ Medium
226518,A. Milić,Croatia,RSC Anderlecht,Left,Medium/ Medium
233943,Ronaldo Vieira,England,Sampdoria,Right,Medium/ Medium
203736,S. Bahoken,Cameroon,Angers SCO,Right,Medium/ Medium
231640,Ontiveros,Spain,Málaga CF,Right,Medium/ Low
199897,N. Höfler,Germany,SC Freiburg,Right,Medium/ Medium
213209,K. Acosta,United States,Colorado Rapids,Right,High/ High
183769,A. Çamdalı,Germany,Çaykur Rizespor,Right,Medium/ High
199386,B. Linssen,Netherlands,Vitesse,Right,High/ Medium
204250,M. Trotta,Italy,Sassuolo,Left,High/ Low
206042,J. Dezi,Italy,Parma,Right,High/ Medium
176346,Choi Chul Soon,Korea Republic,Jeonbuk Hyundai Motors,Right,High/ High
216283,Danilo,Brazil,VfL Bochum 1848,Left,High/ High
238555,J. Savarino,Venezuela,Real Salt Lake,Right,High/ Medium
186331,M. Zeman,Czech Republic,Viktoria Plzeň,Left,Medium/ Medium
189403,N. Baker,England,Bristol City,Left,Low/ High
209372,M. Saymak,Netherlands,Çaykur Rizespor,Right,Medium/ Medium
176348,Yeom Ki Hun,Korea Republic,Suwon Samsung Bluewings,Left,Medium/ Medium
189148,J. Murphy,Scotland,Rangers FC,Right,Medium/ Medium
192732,E. Prib,Russia,Hannover 96,Left,Medium/ High
213725,L. Phiri,South Africa,En Avant de Guingamp,Right,Medium/ High
217565,Jubal,Brazil,Portimonense SC,Right,Medium/ Medium
222429,A. Cubas,Argentina,Club Atlético Talleres,Right,Low/ High
220638,Luismi,Spain,Real Valladolid CF,Right,Medium/ High
190430,J. Bennett,England,Cardiff City,Left,High/ Medium
242143,Ricardo Ryller,Brazil,SC Braga,Right,Medium/ Medium
194015,J. Börner,Germany,DSC Arminia Bielefeld,Left,Medium/ High
183520,Fran Mérida,Spain,CA Osasuna,Left,Medium/ Medium
145889,Tito,Spain,Rayo Vallecano,Right,Medium/ Medium
229857,S. Sensi,Italy,Sassuolo,Right,Medium/ Medium
194017,A. Weimann,Austria,Bristol City,Right,High/ Medium
199651,Fernando Canesín,Brazil,KV Oostende,Right,High/ Medium
208099,I. Runje,Croatia,Jagiellonia Białystok,Right,Medium/ Medium
221923,Vigaray,Spain,Deportivo Alavés,Right,Medium/ Medium
224739,P. Olayinka,Nigeria,SK Slavia Praha,Right,High/ High
216036,R. Delgado,Argentina,Defensa y Justicia,Left,Medium/ Medium
153062,V. Figueroa,Argentina,Newell's Old Boys,Right,High/ Medium
243686,Chiquinho,Portugal,Moreirense FC,Right,High/ Medium
193254,C. Trimmel,Austria,1. FC Union Berlin,Right,High/ Medium
201447,S. Lletget,United States,LA Galaxy,Right,Medium/ Medium
208615,C. Jullien,France,Toulouse Football Club,Right,Low/ High
240359,O. Alderete,Paraguay,Club Atlético Huracán,Left,Medium/ High
242664,A. Saelemaekers,Belgium,RSC Anderlecht,Right,High/ High
177896,M. Vrančić,Bosnia Herzegovina,Norwich City,Left,Medium/ Medium
207593,J. Uronen,Finland,KRC Genk,Left,High/ High
238569,K. Schindler,Ghana,Holstein Kiel,Right,Medium/ Medium
202986,Sin Jin Ho,Korea Republic,FC Seoul,Right,High/ Medium
227562,L. Haraslín,Slovakia,Lechia Gdańsk,Left,High/ Medium
233195,X. Schlager,Austria,FC Red Bull Salzburg,Left,High/ High
182763,N. Jelavić,Croatia,Guizhou Hengfeng FC,Right,Medium/ Low
206316,T. Ben Haim,Israel,Sparta Praha,Right,Medium/ Low
208364,Clinton Mata,Angola,Club Brugge KV,Right,Medium/ Medium
169708,S. Hutchinson,England,Sheffield Wednesday,Right,Medium/ High
185068,J. Russell,Scotland,Sporting Kansas City,Left,High/ High
199663,Renato Neto,Brazil,KAA Gent,Right,High/ High
202223,J. Meram,Iraq,Columbus Crew SC,Right,Medium/ High
229359,Jorge Miramón,Spain,SD Huesca,Right,Medium/ Medium
231919,A. Murgia,Italy,Lazio,Right,Medium/ Medium
196848,I. Ávila,Peru,Monarcas Morelia,Right,High/ Low
198641,K. Zohore,Denmark,Cardiff City,Left,Medium/ Low
205553,L. Ceppitelli,Italy,Cagliari,Right,High/ High
177137,Nuno Coelho,Portugal,Os Belenenses,Right,Low/ Medium
178417,C. Mulgrew,Scotland,Blackburn Rovers,Left,Low/ Medium
207858,D. Dwyer,United States,Orlando City SC,Left,High/ High
178418,F. Peluso,Italy,Sassuolo,Left,Medium/ Medium
189938,M. van der Werff,Netherlands,Vitesse,Right,Medium/ Medium
214515,M. Piedrahita,Colombia,Junior FC,Right,Medium/ Medium
214771,V. Ayala,Paraguay,Gimnasia y Esgrima La Plata,Right,Medium/ Medium
237043,R. Alvarado,Mexico,Cruz Azul,Left,Medium/ Medium
241907,D. Rossi,Uruguay,Los Angeles FC,Right,High/ Low
193267,F. Pisacane,Italy,Cagliari,Right,Medium/ High
198900,U. Ćosić,Serbia,AEK Athens,Right,Low/ High
199412,Sebá,Brazil,Chongqing Dangdai Lifan FC SWM Team,Left,Medium/ Medium
214004,D. Peralta,Colombia,Once Caldas,Right,Medium/ High
236532,R. Koch,Germany,SC Freiburg,Right,Medium/ Medium
212469,A. Ghazal,Egypt,Vancouver Whitecaps FC,Right,Low/ High
204278,David Simón,Spain,Deportivo de La Coruña,Right,High/ Medium
221174,M. Oršić,Croatia,Dinamo Zagreb,Right,High/ Medium
230390,Alexandre Frandeira,Brazil,Sport Club do Recife,Right,Low/ Medium
152567,A. Tettey,Norway,Norwich City,Right,Medium/ High
198904,G. Hanley,Scotland,Norwich City,Right,Low/ Medium
204280,Cristian Herrera,Spain,CD Lugo,Left,High/ Medium
199674,Jorge Teixeira,Portugal,Sint-Truidense VV,Right,Low/ High
213498,S. Martinsson Ngouali,Gabon,Hammarby IF,Right,Medium/ Medium
221434,D. Villalpando,Mexico,Club Necaxa,Right,Medium/ Medium
224506,M. Šitum,Croatia,Dinamo Zagreb,Right,High/ Low
202491,T. Carroll,England,Swansea City,Left,Medium/ Medium
178171,Sergio Sánchez,Spain,Cádiz CF,Right,Medium/ Medium
198908,I. Cofie,Ghana,Real Sporting de Gijón,Right,Medium/ Medium
215292,M. Cauteruccio,Uruguay,Cruz Azul,Right,Medium/ Medium
217852,K. Molino,Trinidad & Tobago,Minnesota United FC,Right,High/ Medium
189436,L. Ariaudo,Italy,Frosinone,Left,Low/ High
193276,P. Klingmann,Germany,SV Sandhausen,Right,Medium/ Medium
228093,M. Thuram,France,En Avant de Guingamp,Right,High/ Low
167933,Y. Cahuzac,France,Toulouse Football Club,Right,Medium/ High
172285,Elustondo,Spain,Rayo Vallecano,Right,Medium/ Medium
54013,S. Downing,England,Middlesbrough,Left,Medium/ Medium
188157,L. Immers,Netherlands,ADO Den Haag,Right,High/ High
215294,C. Menéndez,Argentina,Tiburones Rojos de Veracruz,Right,Medium/ Medium
233982,Vágner Corraldo,Brazil,Atlético Paranaense,Left,Medium/ Medium
171774,Luso,Spain,CF Rayo Majadahonda,Right,Medium/ Medium
193278,C. Mavinga,DR Congo,Toronto FC,Left,Medium/ Medium
220671,F. Melchiorri,Italy,Perugia,Right,High/ Medium
192767,T. Doumbia,Mali,Dinamo Zagreb,Right,High/ High
210688,A. Trondsen,Norway,Rosenborg BK,Left,Medium/ High
230400,Allison Sireo,Brazil,América FC (Minas Gerais),Right,Medium/ Medium
179712,Z. Stieber,Hungary,DC United,Left,High/ Low
204289,S. Berahino,Burundi,Stoke City,Right,Medium/ Medium
239106,L. Koutris,Greece,Olympiacos CFP,Left,High/ Medium
188674,M. Pektemek,Turkey,Beşiktaş JK,Right,High/ High
213763,R. Schüller,Finland,Minnesota United FC,Left,Medium/ High
201220,L. Memushaj,Albania,Pescara,Right,Medium/ High
186116,H. Lansbury,England,Aston Villa,Right,Medium/ Medium
225541,A. Kamara,France,Fulham,Right,High/ Medium
199174,A. Caracciolo,Italy,Hellas Verona,Right,Medium/ High
228614,G. Holtmann,Germany,1. FSV Mainz 05,Left,Medium/ Medium
201991,Erik Morán,Spain,AEK Athens,Right,Medium/ Medium
212231,Tobias Figueiredo,Portugal,Nottingham Forest,Right,Medium/ Medium
230407,Miltisco Paulino,Brazil,Santos,Right,Medium/ Medium
229896,Jordi Calavera,Spain,SD Eibar,Right,Medium/ Medium
241672,M. Lešković,Croatia,Dinamo Zagreb,Right,Medium/ Medium
188168,G. Friend,England,Middlesbrough,Left,High/ High
200713,S. Aydoğdu,Turkey,Medipol Başakşehir FK,Left,Medium/ Medium
177673,S. Gashi,Albania,Colorado Rapids,Left,Medium/ Medium
49161,O. Deschacht,Belgium,Sporting Lokeren,Left,Medium/ High
211723,T. Knipping,Germany,SV Sandhausen,Left,Medium/ Medium
222987,H. Yamaguchi,Japan,Cerezo Osaka,Right,Medium/ Medium
223243,V. Aguilera,Argentina,Club América,Right,Medium/ Medium
50955,J. Cavalli,France,AC Ajaccio,Left,Medium/ Medium
216076,L. Pasciuti,Italy,Carpi,Right,High/ Medium
200461,M. Makuszewski,Poland,Lech Poznań,Right,Medium/ Medium
181006,Serginho,Brazil,Akhisar Belediyespor,Right,Medium/ Medium
207887,F. Schnellhardt,Germany,MSV Duisburg,Left,Medium/ Medium
143119,M. Pavone,Argentina,Estudiantes de La Plata,Right,High/ Low
224271,T. Goiginger,Austria,LASK Linz,Right,Medium/ Medium
36111,K. Beckerman,United States,Real Salt Lake,Right,Medium/ High
16,Luis García,Spain,KAS Eupen,Right,Medium/ Medium
230672,Lyanco,Brazil,Torino,Right,Medium/ High
178448,A. Luci,Italy,Livorno,Right,Medium/ Medium
245520,Luca Sangalli,Spain,Real Sociedad,Right,High/ High
203537,S. Ameobi,England,Bolton Wanderers,Left,Medium/ Medium
205585,J. Price,England,Colorado Rapids,Right,Medium/ High
184337,Go Yo Han,Korea Republic,FC Seoul,Right,High/ Medium
208914,O. Hawsawi,Saudi Arabia,Al Nassr,Right,Medium/ High
189459,Jaime Romero,Spain,Córdoba CF,Left,High/ Low
177684,S. Grippo,Switzerland,Real Zaragoza,Right,Low/ Medium
235029,F. Chalov,Russia,PFC CSKA Moscow,Right,High/ Low
188949,L. Siligardi,Italy,Parma,Left,Medium/ Low
199191,D. Appiah,France,RSC Anderlecht,Right,Medium/ Medium
139799,S. Silva,Uruguay,Gimnasia y Esgrima La Plata,Right,Medium/ Medium
199960,J. Paterson,England,Bristol City,Right,High/ Medium
201240,T. Barkhuizen,England,Preston North End,Right,High/ Medium
168984,I. Bangoura,Guinea,Al Raed,Right,High/ Low
235544,S. Memišević,Bosnia Herzegovina,FC Groningen,Right,Medium/ Medium
188696,F. Tabanou,France,En Avant de Guingamp,Left,High/ Medium
164633,T. Hoogland,Germany,VfL Bochum 1848,Right,Medium/ Medium
230681,G. Pezzella,Italy,Udinese,Left,Medium/ Medium
240409,D. Kolovetsios,Greece,Panathinaikos FC,Left,Low/ High
243993,Enric Gallego,Spain,Extremadura UD,Left,High/ Medium
169498,J. Garner,England,Wigan Athletic,Right,High/ Medium
192026,Souza,Brazil,Cerezo Osaka,Right,Medium/ Medium
209691,J. Adéoti,Benin,AJ Auxerre,Right,Medium/ High
214299,R. Caroca,Chile,Universidad de Chile,Right,Medium/ High
215067,D. Rosero Valencia,Colombia,Deportivo Cali,Right,Medium/ High
228124,M. Jonjić,Croatia,Cerezo Osaka,Right,Medium/ High
229404,A. Tarek,Egypt,Orlando City SC,Left,Medium/ High
167452,O. Fink,Germany,Fortuna Düsseldorf,Right,High/ High
186140,F. Macheda,Italy,Panathinaikos FC,Right,High/ Low
192540,M. Duffy,England,Sheffield United,Right,Medium/ Medium
206109,Y. Chibsah,Ghana,Frosinone,Right,Medium/ High
211741,T. Schütz,Germany,DSC Arminia Bielefeld,Right,Medium/ Medium
238621,Rodrigo Becão,Brazil,PFC CSKA Moscow,Right,Low/ Medium
138782,D. Fletcher,Scotland,Stoke City,Right,Medium/ Medium
204830,Vadillo,Spain,Granada CF,Right,Medium/ Low
205086,P. Klement,Germany,SC Paderborn 07,Left,Medium/ Medium
202271,A. Gogia,Germany,1. FC Union Berlin,Right,Medium/ Medium
34079,A. Cole,England,LA Galaxy,Left,High/ Medium
232223,K. Tsimikas,Greece,Olympiacos CFP,Left,High/ Medium
175391,Mateus,Angola,Boavista FC,Right,Medium/ Medium
196896,Babanco,Cape Verde,CD Feirense,Left,Medium/ Medium
204320,X. Mercier,France,KSV Cercle Brugge,Right,Medium/ Medium
139296,D. Nugent,England,Derby County,Right,High/ High
202017,O. Hernández,Germany,Norwich City,Right,High/ High
205857,E. Mathoho,South Africa,Kaizer Chiefs,Right,Medium/ High
213537,B. Sarr,Senegal,Molde FK,Left,Low/ High
214817,A. Sagal,Chile,Pachuca,Left,Medium/ Medium
235041,J. Grimm,France,RC Strasbourg Alsace,Right,Medium/ High
205858,M. Nyatama,South Africa,Orlando Pirates,Right,Medium/ Medium
209698,B. Touré,Mali,AJ Auxerre,Right,Low/ High
227106,Diego González,Spain,Málaga CF,Left,Medium/ Medium
227362,S. Rosted,Norway,KAA Gent,Right,High/ Medium
233250,Y. Suzuki,Japan,Kashima Antlers,Right,High/ Medium
235554,I. Sacko,France,OGC Nice,Right,Medium/ Medium
194082,Flavio Paixão,Portugal,Lechia Gdańsk,Right,High/ Low
157219,G. Fernández,Argentina,Estudiantes de La Plata,Right,Medium/ Low
163619,J. Hayes,Republic of Ireland,Celtic,Left,High/ High
229155,T. Ouwejan,Netherlands,AZ Alkmaar,Left,Medium/ Medium
54051,W. Routledge,England,Swansea City,Right,High/ High
210724,C. Paterson,Scotland,Cardiff City,Right,High/ High
212260,Hwang Ui Jo,Korea Republic,Gamba Osaka,Right,High/ Low
235812,G. Kvilitaia,Georgia,KAA Gent,Right,Medium/ Low
195620,R. Krishna,Fiji,Wellington Phoenix,Right,High/ High
222501,T. Castagne,Belgium,Atalanta,Right,Medium/ High
230181,Heitor Gesse,Brazil,Cruzeiro,Left,High/ Medium
244261,L. Majer,Croatia,Dinamo Zagreb,Left,Medium/ Medium
219174,R. Carrera,Argentina,Unión Española,Right,Medium/ Medium
220198,B. Celina,Kosovo,Swansea City,Right,Medium/ Medium
232230,R. Matarrita,Costa Rica,New York City FC,Left,Medium/ High
178470,L. Vitale,Italy,US Salernitana 1919,Left,High/ Medium
187942,R. Gestede,Benin,Middlesbrough,Right,Medium/ Medium
157479,Pedro López,Spain,Levante UD,Right,Medium/ Medium
231207,J. Lucumi,Colombia,KRC Genk,Left,Low/ High
232487,W. Endo,Japan,Sint-Truidense VV,Right,Medium/ High
236071,João Bardinho,Brazil,Botafogo,Left,Medium/ Medium
207657,F. Barrientos,Argentina,Club Atlético Lanús,Right,Medium/ Medium
194089,C. Moritz,Germany,Hamburger SV,Right,Medium/ Medium
201514,E. Kachunga,DR Congo,Huddersfield Town,Right,High/ Medium
214570,S. Mendoza,Colombia,Amiens SC,Left,High/ Medium
219690,Diego Galo,Brazil,CD Aves,Right,Medium/ Medium
202283,Lins,Brazil,FC Tokyo,Right,High/ Medium
125995,U. Bulut,Turkey,Kayserispor,Right,High/ Medium
219180,Dani Calvo,Spain,CD Numancia,Right,Medium/ Medium
230188,Alam Araújo,Brazil,Grêmio,Left,High/ Medium
239148,F. Andrijašević,Croatia,KAA Gent,Right,High/ Medium
244268,I. Fiolić,Croatia,KRC Genk,Left,Medium/ Medium
189228,M. Caire,Argentina,Club Atlético Tigre,Right,Medium/ Medium
226093,C. Adams,England,Birmingham City,Right,High/ Medium
193581,P. Škuletić,Serbia,Montpellier HSC,Left,Medium/ Low
176942,M. Lustig,Sweden,Celtic,Right,Medium/ High
218415,A. Bjelica,Serbia,KV Oostende,Left,High/ High
215344,G. Alcoba,Uruguay,Santos Laguna,Right,Low/ Medium
234033,Borja Lasso,Spain,Sevilla FC,Right,Medium/ Medium
186161,G. Sunu,France,BB Erzurumspor,Left,Medium/ Medium
198194,D. Williams,United States,Huddersfield Town,Right,Medium/ High
227890,Nuno Santos,Portugal,Rio Ave FC,Left,High/ Medium
240690,N. González,Argentina,VfB Stuttgart,Left,High/ Medium
189490,M. Boland,Germany,Adelaide United,Left,High/ High
205363,M. Bianchetti,Italy,Hellas Verona,Right,Low/ High
214323,G. Celis,Colombia,Vitória Guimarães,Right,Medium/ High
213556,Somália,Brazil,Al Shabab,Right,High/ High
207669,E. Finlay,United States,Minnesota United FC,Right,High/ High
191541,A. Uchida,Japan,Kashima Antlers,Right,High/ Medium
193333,N. Brighenti,Italy,Frosinone,Right,Medium/ Medium
213302,I. Tajouri-Shradi,Libya,New York City FC,Left,High/ Medium
192310,Lionn,Brazil,GD Chaves,Right,Medium/ Medium
198455,J. Larsson,Sweden,Brøndby IF,Right,High/ Medium
222775,T. Pachonik,Germany,Carpi,Right,High/ Medium
181559,F. Bellugou,France,AJ Auxerre,Right,Medium/ High
196151,S. Motta,Colombia,La Equidad,Right,Medium/ Medium
241720,André Pereira,Portugal,FC Porto,Left,High/ Medium
185144,M. Coda,Italy,Benevento,Right,High/ Low
192824,W. Mesloub,Algeria,Racing Club de Lens,Right,High/ Medium
201529,M. Capuano,Italy,Frosinone,Left,High/ Medium
206649,A. Henríquez,Colombia,Atlético Nacional,Left,Medium/ High
171321,G. Dorrans,Scotland,Rangers FC,Right,Medium/ Medium
183353,Víctor Díaz,Spain,Granada CF,Right,Medium/ High
194361,T. Makino,Japan,Urawa Red Diamonds,Right,High/ High
198970,J. Mensah,Ghana,Columbus Crew SC,Right,Medium/ Medium
212282,I. Sylla,Guinea,Toulouse Football Club,Left,High/ Medium
191034,Cyriac,Ivory Coast,Sivasspor,Right,High/ Medium
204347,Bernardo,Spain,CD Lugo,Right,Medium/ Medium
229435,M. Vlap,Netherlands,SC Heerenveen,Right,High/ Medium
230459,Tiago Pombeira,Brazil,Atlético Mineiro,Left,Medium/ Medium
233531,Y. Soteldo,Venezuela,Universidad de Chile,Right,Medium/ Medium
171067,Rafa López,Spain,CF Rayo Majadahonda,Right,Medium/ High
156988,A. Nocerino,Italy,Benevento,Right,Medium/ Medium
229948,J. Harper,Scotland,Málaga CF,Left,High/ High
216381,J. Zimmer,Germany,Fortuna Düsseldorf,Right,Medium/ Medium
156221,C. Săpunaru,Romania,Kayserispor,Right,Medium/ High
223293,Afonso Figueiredo,Portugal,Rio Ave FC,Left,Medium/ Medium
240702,R. Yaremchuk,Ukraine,KAA Gent,Right,High/ Low
203327,A. Galabinov,Bulgaria,Spezia,Right,High/ Low
215615,Maikel Mesa,Spain,UD Las Palmas,Right,Medium/ Medium
231231,B. Garnica,Mexico,Club Atlas,Right,High/ Medium
204352,D. Arslanagic,Belgium,Royal Antwerp FC,Right,Medium/ High
208960,H. Henao,Colombia,Alianza Petrolera,Right,Medium/ High
232512,Y. Kashiwa,Japan,Sanfrecce Hiroshima,Right,Medium/ Medium
190528,J. Gol,Poland,Cracovia,Right,Medium/ High
209473,N. Ghilas,Algeria,Göztepe SK,Right,High/ Medium
209729,B. McKay,Scotland,Swansea City,Right,Medium/ Low
223297,Carraça,Portugal,Boavista FC,Right,Medium/ Medium
211522,A. Callens,Peru,New York City FC,Left,Medium/ Medium
150594,J. Perbet,France,Sporting de Charleroi,Right,Medium/ Low
206147,M. Antonsson,Sweden,Malmö FF,Right,High/ Medium
156227,Carlitos,Portugal,FC Sion,Right,High/ Low
184387,J. Bostock,England,Toulouse Football Club,Left,Medium/ Medium
172100,G. Peñalba,Argentina,UD Las Palmas,Right,Medium/ Medium
233029,R. Aliendro,Argentina,Atlético Tucumán,Right,Medium/ Medium
172613,L. Seijas,Venezuela,Independiente Santa Fe,Left,Medium/ Medium
187205,L. Fuentes,Mexico,Club Tijuana,Left,High/ Medium
199750,R. Hassan,Nigeria,FC Midtjylland,Right,High/ Medium
222022,L. Di Plácido,Argentina,Club Atlético Lanús,Right,Medium/ Medium
200519,Pulido,Spain,SD Huesca,Right,High/ Medium
215111,G. Verón,Argentina,Independiente,Right,High/ Low
225863,O. Boscagli,France,OGC Nice,Left,Medium/ Medium
165191,C. Jerome,England,Göztepe SK,Right,Medium/ High
186695,E. Muñoz,Argentina,CD Leganés,Right,Medium/ High
204104,U. Đerić,Serbia,Gangwon FC,Right,High/ Low
144200,E. Albayrak,Turkey,Júbilo Iwata,Left,Medium/ Medium
213064,F. Calvo,Costa Rica,Minnesota United FC,Left,High/ Medium
220488,F. Costa,Italy,SPAL,Left,High/ High
179528,Xavi Torres,Spain,Elche CF,Right,Medium/ Medium
209738,A. Cadavid,Colombia,Millonarios FC,Left,Medium/ High
162890,J. Spector,United States,Orlando City SC,Right,Medium/ High
188234,Felipe,Brazil,Hannover 96,Left,Medium/ Medium
208459,M. Dijks,Netherlands,Bologna,Left,Medium/ Medium
198220,M. Bourabia,Morocco,Sassuolo,Right,Medium/ Medium
199244,L. Hejda,Czech Republic,Viktoria Plzeň,Right,Medium/ Medium
202060,E. Bergström,Sweden,FC Utrecht,Right,Medium/ High
234573,Aurélio Buta,Portugal,Royal Antwerp FC,Right,Medium/ Medium
223054,C. Penilla,Ecuador,New England Revolution,Right,High/ Medium
228942,D. Cools,Belgium,Club Brugge KV,Right,High/ Medium
237646,D. Muñoz,Colombia,Rionegro Águilas,Right,Medium/ Medium
217167,G. Sandoval,Mexico,Guadalajara,Right,Medium/ Medium
224591,Y. Bodiger,France,Toulouse Football Club,Left,Medium/ Medium
214096,T. Kleindienst,Germany,SC Freiburg,Right,Medium/ Medium
217168,J. Abella,Mexico,Santos Laguna,Right,Medium/ Medium
169808,U. Emanuelson,Netherlands,FC Utrecht,Left,Medium/ Medium
183632,R. Tesche,Germany,VfL Bochum 1848,Right,High/ High
239953,Léo Jabá,Brazil,PAOK,Right,High/ Low
184401,Paulo Henrique,Brazil,Akhisar Belediyespor,Right,High/ Low
241746,Y. Meriah,Tunisia,Olympiacos CFP,Right,Medium/ Medium
231507,A. Soto,Argentina,Racing Club,Left,Medium/ Medium
234579,J. Quiñones,Colombia,Tigres U.A.N.L.,Right,High/ Medium
204372,E. Başsan,Turkey,BB Erzurumspor,Left,Medium/ Medium
197973,O. González,Chile,Deportivo Toluca,Right,Medium/ High
158293,Zheng Zhi,China PR,Guangzhou Evergrande Taobao FC,Right,High/ High
190549,M. Henriksen,Norway,Hull City,Right,High/ Medium
230486,Paulolettinho,Brazil,Paraná,Right,High/ Medium
172886,S. Malezas,Greece,PAOK,Right,Low/ High
199511,W. Lautoa,New Caledonia,Dijon FCO,Left,Low/ Medium
211287,M. Fofana,Ivory Coast,Atiker Konyaspor,Right,High/ Low
213591,J. Cornejo,Chile,Club León,Left,Medium/ Medium
214615,J. Duque,Colombia,Club Atlas,Right,Medium/ Low
198489,J. McClean,Republic of Ireland,Stoke City,Left,High/ High
183385,A. Guédioura,Algeria,Nottingham Forest,Right,High/ High
208730,E. Valentini,Germany,1. FC Nürnberg,Right,Medium/ Medium
231002,J. Šimunović,Bosnia Herzegovina,Celtic,Right,Medium/ Medium
235866,C. Kouamé,Ivory Coast,Genoa,Right,High/ Low
184154,N. De Pauw,Belgium,SV Zulte-Waregem,Right,High/ High
230235,Alex das Freitas,Brazil,América FC (Minas Gerais),Right,Medium/ High
190555,Mossa,Spain,Real Oviedo,Left,Medium/ Medium
214876,J. Marriott,England,Derby County,Right,High/ Medium
227932,L. Fröde,Germany,MSV Duisburg,Right,Low/ High
237404,L. Pokorný,Czech Republic,SK Slavia Praha,Left,Medium/ High
240988,D. Vavro,Slovakia,FC København,Right,High/ Medium
176732,M. Bjärsmyr,Sweden,Sivasspor,Right,Medium/ Medium
159581,Oriol Riera,Spain,Western Sydney Wanderers,Right,High/ Medium
234333,M. Maolida,France,OGC Nice,Right,High/ Medium
188765,M. Mostefa,Algeria,AS Béziers,Right,Medium/ High
214366,R. Carrascal,Colombia,Deportes Tolima,Right,Medium/ Medium
192608,M. Barthelmé,France,La Berrichonne de Châteauroux,Left,Medium/ High
193632,A. Novikovas,Lithuania,Jagiellonia Białystok,Left,Medium/ Low
199266,Ji Dong Won,Korea Republic,FC Augsburg,Right,Medium/ Medium
239970,Paulinho,Brazil,Bayer 04 Leverkusen,Right,Medium/ Medium
204387,Juan Carlos,Spain,UD Almería,Right,High/ Medium
213092,S. Piette,Canada,Montreal Impact,Right,Low/ High
161636,N. Ortigoza,Paraguay,Rosario Central,Right,Medium/ Medium
233061,M. Pereira Lage,Portugal,Clermont Foot 63,Right,High/ Medium
234853,Jean Cléber,Brazil,Clube Sport Marítimo,Right,Medium/ Medium
239717,O. Danchenko,Ukraine,Shakhtar Donetsk,Right,Medium/ Medium
205158,Guillermo,Spain,CD Numancia,Right,High/ Medium
175462,O. Vizcarrondo,Venezuela,ESTAC Troyes,Right,Low/ High
224103,E. Aguirre,Mexico,Pachuca,Right,High/ Medium
228967,Edu Machado,Portugal,Boavista FC,Right,High/ Medium
191079,H. Dean,England,Birmingham City,Right,Medium/ High
214376,D. Andrade,Colombia,Deportivo Cali,Left,High/ High
159080,C. Bryson,Scotland,Derby County,Right,Medium/ Medium
209769,B. Başaçıkoğlu,Turkey,Kayserispor,Right,Medium/ High
227689,K. Mrabti,Sweden,Djurgårdens IF,Right,High/ High
234857,I. Oblyakov,Russia,PFC CSKA Moscow,Left,High/ Medium
183145,S. Logan,England,Aberdeen,Right,High/ High
201066,D. Kaiser,Germany,Brøndby IF,Right,Medium/ Medium
214378,D. Silva,Colombia,Millonarios FC,Right,High/ Medium
241771,A. Nwakaeme,Nigeria,Trabzonspor,Right,High/ Low
194924,Toribio,Spain,AD Alcorcón,Left,Medium/ High
199789,M. Yumlu,Turkey,Akhisar Belediyespor,Right,Low/ High
202605,A. Milošević,Sweden,AIK,Right,Medium/ Medium
192621,D. Nounkeu,Cameroon,Akhisar Belediyespor,Right,Medium/ High
217710,M. Barragán,Mexico,Club Necaxa,Right,High/ Medium
220782,M. Ilaimaharitra,Madagascar,Sporting de Charleroi,Right,Medium/ Medium
222832,João Teixeira,Portugal,GD Chaves,Right,Medium/ Medium
224368,M. Doumbia,Mali,Stade de Reims,Right,High/ Low
203633,M. Bruno,Belgium,Sporting de Charleroi,Right,Medium/ Medium
183921,J. Faussurier,France,Stade Brestois 29,Right,High/ Medium
191089,C. Wickham,England,Crystal Palace,Right,High/ Medium
199282,A. Abrashi,Albania,SC Freiburg,Right,High/ High
177522,Suso Santana,Spain,CD Tenerife,Right,High/ High
224371,J. Bowen,England,Hull City,Left,Medium/ Medium
233075,Garrido,Spain,Cádiz CF,Right,Low/ High
236403,E. N'Dicka,France,Eintracht Frankfurt,Left,Medium/ Medium
239475,J. González,Mexico,Monterrey,Right,High/ High
190579,Y. Andreu,France,Angers SCO,Right,Medium/ Medium
200820,J. Obita,England,Reading,Left,Medium/ Medium
202356,Z. Erdal,Turkey,Sivasspor,Left,Medium/ Medium
211060,Elsinho,Brazil,Kawasaki Frontale,Right,High/ Medium
214388,D. Asprilla,Colombia,Al Fayha,Right,Medium/ Medium
230772,Léo Gamalho,Brazil,Pohang Steelers,Right,High/ Low
